branch_id,branch_name,city,state,opened_date,ifsc_code
1,Pune Branch 1,Pune,Maharashtra,2016-05-23,BNK0000000
2,Bhopal Branch 2,Bhopal,Madhya Pradesh,2002-01-13,BNK0000001
3,Lucknow Branch 3,Lucknow,Uttar Pradesh,2017-12-10,BNK0000002
4,Kolkata Branch 4,Kolkata,West Bengal,2002-05-04,BNK0000003
5,Kolkata Branch 5,Kolkata,West Bengal,2005-11-09,BNK0000004
6,Kochi Branch 6,Kochi,Kerala,2011-07-19,BNK0000005
7,Pune Branch 7,Pune,Maharashtra,1998-02-27,BNK0000006
8,Chandigarh Branch 8,Chandigarh,Punjab,2008-12-04,BNK0000007
9,Bengaluru Branch 9,Bengaluru,Karnataka,2007-08-17,BNK0000008
10,Pune Branch 1,Pune,Maharashtra,2014-08-06,BNK0000009
11,Ahmedabad Branch 2,Ahmedabad,Gujarat,2019-11-26,BNK0000010
12,Indore Branch 3,Indore,Madhya Pradesh,2011-08-10,BNK0000011
13,Bhopal Branch 4,Bhopal,Madhya Pradesh,2005-03-25,BNK0000012
14,Bhopal Branch 5,Bhopal,Madhya Pradesh,2005-02-27,BNK0000013
15,Chandigarh Branch 6,Chandigarh,Punjab,2005-06-13,BNK0000014
16,Bhopal Branch 7,Bhopal,Madhya Pradesh,2015-05-08,BNK0000015
17,Ahmedabad Branch 8,Ahmedabad,Gujarat,2003-01-12,BNK0000016
18,Pune Branch 9,Pune,Maharashtra,1999-03-05,BNK0000017
19,Kochi Branch 1,Kochi,Kerala,2003-05-11,BNK0000018
20,Kolkata Branch 2,Kolkata,West Bengal,1995-07-27,BNK0000019
21,Ahmedabad Branch 3,Ahmedabad,Gujarat,1997-08-27,BNK0000020
22,Hyderabad Branch 4,Hyderabad,Telangana,1997-04-02,BNK0000021
23,Delhi Branch 5,Delhi,Delhi,2014-04-16,BNK0000022
24,Nagpur Branch 6,Nagpur,Maharashtra,2013-01-21,BNK0000023
25,Bhopal Branch 7,Bhopal,Madhya Pradesh,2012-06-02,BNK0000024
26,Lucknow Branch 8,Lucknow,Uttar Pradesh,2006-07-19,BNK0000025
27,Kolkata Branch 9,Kolkata,West Bengal,2012-12-04,BNK0000026
28,Kochi Branch 1,Kochi,Kerala,1999-01-12,BNK0000027
29,Jaipur Branch 2,Jaipur,Rajasthan,2017-07-07,BNK0000028
30,Kolkata Branch 3,Kolkata,West Bengal,2007-07-12,BNK0000029
31,Kolkata Branch 4,Kolkata,West Bengal,2018-06-14,BNK0000030
32,Bengaluru Branch 5,Bengaluru,Karnataka,1998-10-22,BNK0000031
33,Pune Branch 6,Pune,Maharashtra,2007-06-08,BNK0000032
34,Jaipur Branch 7,Jaipur,Rajasthan,2012-05-29,BNK0000033
